GRUPO;IDENTIFICADOR;CODIGO;SERVICIO
ORINA;17388;;CALCIO/CREATININA (ORINA)
PATOLOGIA;7828;;BIOPSIA DE OVARIO, CON O SIN TROMPA
PATOLOGIA;8245; ;BIOPSIA DE PIEL EN HEMATOXILINA Y EOSINA
PATOLOGIA;7835;;BIOPSIA DE TESTICULO NO TUMORAL
PATOLOGIA;7836;;BIOPSIA DE VESICULA
ALERGIAS;312;;ACEITUNAS
ALERGIAS;1785;;ACETOMINOFEN/PARACETAMOL
ALERGIAS;1783;;ACIDO SALICILICO
ALERGIAS;307;;AJO
ALERGIAS;275;;ALMENDRAS
ALERGIAS;1784;;AMPICILINA
ALERGIAS;284;;APIO
ALERGIAS;273;;CENTENO
ALERGIAS;177;;F88 CARNE DE CORDERO
ALERGIAS;295;;FRESAS
ALERGIAS;270;;GLUTEN
ALERGIAS;292;;GROSELLAS
ALERGIAS;257;;HIERBA COMUN
ALERGIAS;308;;JENGIBRE
ALERGIAS;255;;M6 ALTERNARIA TENUIS
ALERGIAS;1759;;METANEFRINAS PLASMATICA
ALERGIAS;1788;;METHADONA
ALERGIAS;1529;;MEZCLA DE ALIMENTOS
ALERGIAS;1530;;MEZCLA DE ALIMENTOS II
ALERGIAS;279;;MEZCLAS DE LEGUMBRES
ALERGIAS;304;;MIX DE MARISCO(CAMARON, PESCADO, CANGREJO)
ALERGIAS;303;;MIX DE PESCADO DE AGUA DULCE
ALERGIAS;302;;MIX DE PESCADOS BLANCOS
ALERGIAS;1570;;NITROGENO UREICO BUN POST
ALERGIAS;278;;NUEZ
ALERGIAS;276;;NUEZ DE BRAIL
ALERGIAS;1525;;PANELDE ALERGIA DE ALIMENTOS IGG DE 46 PRUEBAS
ALERGIAS;199;;PAPRIKA
ALERGIAS;286;;PEPINO
ALERGIAS;287;;PIMIENTOS (ROJO, AMARILLO Y VERDES)
ALERGIAS;235;;PLUMAS DE PAVO
ALERGIAS;299;;POLLO
ALERGIAS;282;;PUERRO
ALERGIAS;1489;;PYLORI IGG-IGA
ALERGIAS;1048;;RAST LACTOS
ALERGIAS;6562;;RAST TEST ALERGENO : ACARUS SIRO - ACAROS
ALERGIAS;6563;;RAST TEST ALERGENO:  CARNE DE PAVO
ALERGIAS;6564;;RAST TEST ALERGENO:  LIBOCEDRUS DECURRENS (CEDRO)
ALERGIAS;6565;;RAST TEST ALERGENO:  PEPINO
ALERGIAS;6566;;RAST TEST ALERGENO: CYNODON DACTYLON (GRAMA MAYOR) POLENES GRAMINEAS
ALERGIAS;6567;;RAST TEST ALERGENO: DIPIRONA/METAMIZOL
ALERGIAS;6568;;RAST TEST ALERGENO: ERITROMICINA
ALERGIAS;6569;;RAST TEST ALERGENO: TROPOMIOSINA
ALERGIAS;6570;;RAST TEST ALERGENOS : GALACTOSA-ALFA-1,3-GALACTOSA
ALERGIAS;6571;;RAST TEST ALERGENOS : PLUMA DE PERICO
ALERGIAS;6572;;RAST TEST ALERGENOS ISOCIANATO HDI
ALERGIAS;6573;;RAST TEST ALERGENOS ISOCIANATO MDI
ALERGIAS;6574;;RAST TEST ALERGENOS ISOCIANATO TDI
ALERGIAS;6575;;RAST TEST ALERGENOS:  DEXAMETASONA
ALERGIAS;6576;;RAST TEST ALERGENOS:  ECHINOCOCCUS (HIDATIDOSIS)
ALERGIAS;6577;;RAST TEST ALERGENOS:  RUMEX CRISPUS (ROMAZA)  POLENES DE MALEZAS 
ALERGIAS;6578;;RAST TEST ALERGENOS: ABEDUL PLATEADO COMÚN
ALERGIAS;6579;;RAST TEST ALERGENOS: ACACIA
ALERGIAS;6580;;RAST TEST ALERGENOS: ACAROS
ALERGIAS;6581;;RAST TEST ALERGENOS: ACAROS D. PTERONYSSINUS 
ALERGIAS;6582;;RAST TEST ALERGENOS: ACAROS D.FARINAE
ALERGIAS;6583;;RAST TEST ALERGENOS: ACAROS DERMATOPHAGOIDE
ALERGIAS;6584;;RAST TEST ALERGENOS: ACETAMINOFEN (PARACETAMOL)
ALERGIAS;6585;;RAST TEST ALERGENOS: ACETILSALICILICO
ALERGIAS;6586;;RAST TEST ALERGENOS: ACIDO CLAVULANICO
ALERGIAS;6587;;RAST TEST ALERGENOS: AEDES COMMUNIS (MOSQUITO COMUN)
ALERGIAS;6588;;RAST TEST ALERGENOS: AGUACATE
ALERGIAS;6589;;RAST TEST ALERGENOS: AHUYAMA / CALABAZA
ALERGIAS;6590;;RAST TEST ALERGENOS: AJI (PIMIENTA DE CHILE)
ALERGIAS;6591;;RAST TEST ALERGENOS: AJO
ALERGIAS;6592;;RAST TEST ALERGENOS: AJONJOLÍ
ALERGIAS;6593;;RAST TEST ALERGENOS: ALBUMINA SUERO BOVINO
ALERGIAS;6594;;RAST TEST ALERGENOS: ALCACHOFA
ALERGIAS;6595;;RAST TEST ALERGENOS: ALFA-LACTOALBUMINA
ALERGIAS;6596;;RAST TEST ALERGENOS: ALGODON
ALERGIAS;6597;;RAST TEST ALERGENOS: ALISO 
ALERGIAS;6598;;RAST TEST ALERGENOS: ALMEJA
ALERGIAS;6599;;RAST TEST ALERGENOS: ALMENDRA
ALERGIAS;6600;;RAST TEST ALERGENOS: ALTERNARIA
ALERGIAS;6601;;RAST TEST ALERGENOS: AMBROSIA COMÚN
ALERGIAS;6602;;RAST TEST ALERGENOS: AMOXICILINA
ALERGIAS;6603;;RAST TEST ALERGENOS: AMPICILINA
ALERGIAS;6604;;RAST TEST ALERGENOS: ANÍS
ALERGIAS;6605;;RAST TEST ALERGENOS: ANISAKIS (P4) ALIMENTOS
ALERGIAS;6606;;RAST TEST ALERGENOS: APIO
