"id","product_variant_id/default_code","product_variant_id/display_name","product_brand_id/display_name","product_variant_id/categ_id/display_name","partner_manufacturer_id/display_name","country_id/display_name","product_variant_id/regsanitario_ids/name","product_variant_id/regsanitario_ids/date_end"
"__export__.product_template_28610","20764949322","[20764949322]  ASTL,  500Tests, cobas c, Integra ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-138-09-10","2020-09-28"
"__export__.product_template_30344","6510167001","[6510167001]  CELLPACK DCL 20L ","ROCHE","All / HEMATOLOGIA / HE Reagents","SYSMEX","Alemania","AD-565-06-13","2023-04-24"
"__export__.product_template_28630","11183982216","[11183982216]  ISE STANDARD HIGH 10 X 3 ML ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-149-11-10","2020-11-18"
"__export__.product_template_32881","HBSG-302","[HBSG-302] HEPATITIS B  HBsag CASSETE X UNIDAD ","ACROBIOTECH","All / INSUMOS / PREANALITICA","E.M. IMPORTACIONES MEDICAS EMIMSA S.A.","Estados Unidos","6654-DME-0319","2024-03-26"
"__export__.product_template_121863_5b4739da","8445699190","[8445699190]  A1CX3, 200T, cobas c pack green","","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","",""
"__export__.product_template_122116_b3c09c85","CQACA-1K0-00","[CQACA-1K0-00]  ACIDO ACETICO AL 5% 1000ml","QUIMICAL","All / INSUMOS / ANALITICA","QUIMICAL SCIENTIFIC DIAGNOSTIC SCC","Ecuador","",""
"__export__.product_template_122881_57d8512d","8946710190","[8946710190]  ACTH Elecsys cobas e 100 V2","","All","ROCHE ECUADOR S.A.","Alemania","",""
"__export__.product_template_29380","28103356001","[28103356001]  ADAPTER FEMALE 4/6MM ","ROCHE","All / REPUESTOS / Clin. Chem. Systems Support","ROCHE ECUADOR S.A.","Alemania","N/A",""
"__export__.product_template_29243","28103364001 ELIM","[28103364001 ELIM]  ADAPTER MALE 6/4MM ","ROCHE","All / REPUESTOS / Clin. Chem. Systems Support","ROCHE ECUADOR S.A.","Alemania","N/A",""
"__export__.product_template_30002","11933159001","[11933159001]  ADAPTER SYS CLEAN KU FBL ","ROCHE","All / REPUESTOS / IM cobas e / Elecsys Instruments","ROCHE ECUADOR S.A.","Alemania","N/A",""
"__export__.product_template_122148_fd7c68c6","9227261190","[9227261190]  AFP G2 CS Elecsys V3","","All / INMUNOLOGIA / CC Calibrators / Controls","ROCHE ECUADOR S.A.","Alemania","",""
"__export__.product_template_30481","4939140001","[4939140001]  AIR PUMP SET N01 XS ","ROCHE","All / REPUESTOS / AIR PUMP SET N01 XS","ROCHE ECUADOR S.A.","Alemania","N/A",""
"__export__.product_template_28604","3183688122","[3183688122]  ALB BCG Gen.2, 300Tests, cobas c, Int. ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-0608-03-04","2024-01-14"
"__export__.product_template_28704","5166861190","[5166861190]  ALB BCG Gen.2, 750Tests cobas c701 ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-560-06-13","2023-03-06"
"__export__.product_template_28812","5401500190","[5401500190]  ALB-T 200T cobas c111 ","ROCHE","All / BIOQUIMICA / CC HIA Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-138-09-10","2020-09-28"
"__export__.product_template_28774","4469658190","[4469658190]  ALB-T TQ Gen.2, 100Tests, cobas c, Int.","ROCHE","All / BIOQUIMICA / CC HIA Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-560-06-13","2023-03-06"
"__export__.product_template_28605","3333752190","[3333752190]  ALP IFCC Gen.2 S, 200T, cobas c, Int. ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-138-09-10","2020-09-28"
"__export__.product_template_28657","4657373190","[4657373190]  ALP IFCC Gen.2, 200T, cobas c111 ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-0471-10-03","2023-07-12"
"__export__.product_template_28699","5850797190","[5850797190]  ALT 1100Tests cobas c 701 ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-560-06-13","2023-03-06"
"__export__.product_template_28658","4718569190","[4718569190]  ALT 400T cobas c 111 ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-0471-10-03","2023-07-12"
"__export__.product_template_28606","20764957322","[20764957322]  ALTL,  500Tests, cobas c, Integra ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-138-09-10","2020-09-28"
"__export__.product_template_28608","3183742122","[3183742122]  AMYL Gen.2, 300Tests, cobas c, Integra ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-0608-03-04","2024-01-14"
"__export__.product_template_28708","5167027190","[5167027190]  AMYL Gen.2, 750Tests cobas c701 ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-560-06-13","2023-03-06"
"__export__.product_template_28767","4489403190","[4489403190]  ASLO TQ, 150Tests, cobas c ","ROCHE","All / INMUNOLOGIA / CC HIA Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-145-11-10","2020-11-04"
"__export__.product_template_30003","11706802001","[11706802001]  ASSAY CUP ELECSYS2010           CUU 2010 ","ROCHE","All / INMUNOLOGIA / IM cobas e / Elecsys Instruments","ROCHE ECUADOR S.A.","Alemania","N/A",""
"__export__.product_template_30004","11706799001","[11706799001]  ASSAY TIP ELECSYS 2010  CUU ","ROCHE","All / INMUNOLOGIA / IM cobas e / Elecsys Instruments","ROCHE ECUADOR S.A.","Alemania","N/A",""
"__export__.product_template_28701","5850819190","[5850819190]  AST 1100Tests cobas c 701 ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-560-06-13","2023-03-06"
"__export__.product_template_28659","4657543190","[4657543190]  AST 400T cobas c 111 ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-0471-10-03","2023-07-12"
"__export__.product_template_31568","011418262171","[011418262171]  Accutrend Cholesterol  25 Str. ","ROCHE","All / BIOQUIMICA / Accutrend Reagents","ROCHE ECUADOR S.A.","Alemania","AD-0449-10-03","2023-06-24"
