id;.id;default_code;name;categ_id/name;categ_id/display_name;standard_price;price;list_price;lst_price;default_code
__export__.product_template_28610;115617;20764949322; ASTL,  500Tests, cobas c, Integra ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;70.99042553;0;246.5;246.5;20764949322
__export__.product_template_28630;103698;11183982216; ISE STANDARD HIGH 10 X 3 ML ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;34.96;0;70.15;70.15;11183982216
__export__.product_template_33740;115664;AZUL DE METILENO;AZUL DE METILENO;ANALITICA;All / INSUMOS / ANALITICA;9.45;0;1;1;AZUL DE METILENO
__export__.product_template_30344;103680;6510167001;CELLPACK DCL 20L;HE Reagents;All / HEMATOLOGIA / HE Reagents;78.65;0;139.15;139.15;6510167001
__export__.product_template_122051_a698e20d;122051;C060430;CUBRE OBJETO 24X60MM X 100 UNDS;ANALITICA;All / INSUMOS / ANALITICA;5.5;0;1;1;C060430
__export__.product_template_33477;115876;160ORIESP00001;ENVASE DE ORINA SOPLADO 150 ML ;PREANALITICA;All / INSUMOS / PREANALITICA;0.1034;0;1;1;160ORIESP00001
__export__.product_template_32881;115998;HBSG-302;HEPATITIS B  HBsag CASSETE X UNIDAD ;PREANALITICA;All / INSUMOS / PREANALITICA;0.71;0;0.69;0.69;HBSG-302
__export__.product_template_121863_5b4739da;121863;8445699190; A1CX3, 200T, cobas c pack green;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;633.1;0;1;1;8445699190
__export__.product_template_122116_b3c09c85;122116;CQACA-1K0-00; ACIDO ACETICO AL 5% 1000ml;ANALITICA;All / INSUMOS / ANALITICA;8.9775;0;1;1;CQACA-1K0-00
__export__.product_template_122881_57d8512d;122881;8946710190; ACTH Elecsys cobas e 100 V2;Todos;All;1;0;1;1;8946710190
__export__.product_template_29380;103740;28103356001; ADAPTER FEMALE 4/6MM ;Clin. Chem. Systems Support;All / REPUESTOS / Clin. Chem. Systems Support;46.5;0;1;1;28103356001
__export__.product_template_29243;103741;28103364001 ELIM; ADAPTER MALE 6/4MM ;Clin. Chem. Systems Support;All / REPUESTOS / Clin. Chem. Systems Support;0.01;0;1;1;28103364001 ELIM
__export__.product_template_30002;103742;11933159001; ADAPTER SYS CLEAN KU FBL ;IM cobas e / Elecsys Instruments;All / REPUESTOS / IM cobas e / Elecsys Instruments;0.56173151;0;1;1;11933159001
__export__.product_template_123403_0f3c96c1;123403;9015086190; AFP Elecsys cobas e 200 V2;REACTIVO;All / INMUNOLOGIA / REACTIVO;373.1;0;373.1;373.1;9015086190
__export__.product_template_122148_fd7c68c6;122148;9227261190; AFP G2 CS Elecsys V3;CC Calibrators / Controls;All / INMUNOLOGIA / CC Calibrators / Controls;1;0;122.85;122.85;9227261190
__export__.product_template_30481;115612;4939140001; AIR PUMP SET N01 XS ;AIR PUMP SET N01 XS;All / REPUESTOS / AIR PUMP SET N01 XS;0.87625;0;1;1;4939140001
