CATEGORIA;NOMBRE;REFERENCIA;UNIDAD;GENERACION
; ASTL,  500Tests, cobas c, Integra ;20764949322;;
; ISE STANDARD HIGH 10 X 3 ML ;11183982216;;
;AZUL DE METILENO;AZUL DE METILENO;;
;CELLPACK DCL 20L;6510167001;;
;CUBRE OBJETO 24X60MM X 100 UNDS;C060430;;
;ENVASE DE ORINA SOPLADO 150 ML ;160ORIESP00001;;
;HEPATITIS B  HBsag CASSETE X UNIDAD ;HBSG-302;;
; A1CX3, 200T, cobas c pack green;8445699190;;
; ACIDO ACETICO AL 5% 1000ml;CQACA-1K0-00;;
; ACTH Elecsys cobas e 100 V2;8946710190;;
; ADAPTER FEMALE 4/6MM ;28103356001;;
; ADAPTER MALE 6/4MM ;28103364001 ELIM;;
; ADAPTER SYS CLEAN KU FBL ;11933159001;;
; AFP Elecsys cobas e 200 V2;9015086190;;
; AFP G2 CS Elecsys V3;9227261190;;
; AIR PUMP SET N01 XS ;4939140001;;
; ALB BCG Gen.2, 300Tests, cobas c, Int. ;3183688122;;
; ALB BCG Gen.2, 750Tests cobas c701 ;5166861190;;
; ALB-T 200T cobas c111 ;5401500190;;
; ALB-T TQ Gen.2, 100Tests, cobas c, Int.;4469658190;;
; ALP IFCC Gen.2 S, 200T, cobas c, Int. ;3333752190;;
; ALP IFCC Gen.2, 200T, cobas c111 ;4657373190;;
; ALT 1100Tests cobas c 701 ;5850797190;;
; ALT 400T cobas c 111 ;4718569190;;
; ALTL,  500Tests, cobas c, Integra ;20764957322;;
; AMYL Gen.2, 300Tests, cobas c, Integra ;3183742122;;
; AMYL Gen.2, 750Tests cobas c701 ;5167027190;;
; ASLO TQ, 150Tests, cobas c ;4489403190;;
; ASSAY CUP ELECSYS2010           CUU 2010 ;11706802001;;
; ASSAY TIP ELECSYS 2010  CUU ;11706799001;;
; AST 1100Tests cobas c 701 ;5850819190;;
; AST 400T cobas c 111 ;4657543190;;
; Accutrend Cholesterol  25 Str. ;11418262171;;
; Accutrend Plus Kit mg/dl ;5050472023;;
; Accutrend TG 25 Str. ;11538144016;;
; Acid wash Solution 2x1,8 L ;4880307190;;
; Activator for cobas c,Integra,c111 ;4663632190;;
; Albumin BCG 400T Cobas C111 ;4657357190;;
; Ammonia/Ethanol/CO2 Control N ;20752401190;;
; Anti-CCP Elecsys, cobas e ;5031656190;;
; Anti-HCV G2 Elecsys cobas e 200 ;6427405190;;
; Anti-TG Elecsys cobas e 100 V4 ;6368697190;;
; Anti-TPO CS Elecsys ;6472931190;;
; Anti-TPO Elecsys cobas e 100 V3 ;6368590190;;
; Assay Tip/Cup Elecsys ModularE170 ;12102137001;;
; BEARING ROTOR ASSY ;4793099001 ELIM;;
; BIL-D Gen.2, 100Tests, cobas c 111 ;5589134190;;
; BIL-D Gen.2, 350Tests cobas c, Integra ;5589061190;;
; BIL-D Gen.2, 500Tests cobas c 701,702 ;5168384190;;
; BIL-T Gen.3, 250Tests cobas c,Integra ;5795397190;;
; BIL-T Gen.3, 400Tests cobas c 111 ;5795648190;;
; BIL-T Gen.3, 600Tests cobas c 701,702 ;5795419190;;
; BM-Lactate 25 Str. ;3012654370;;
; BUBBLE TRAP COMPL. ;7268564001;;
; Barcode Label 2,7x5,7cm ;5870020001;;
; Barcode Scanner Unitech MS180 ;6919235001;;
; Biossays Acid Wash (BC1200, BC2200, Biolumi 8000, Biossays 240  Plus/1 Ã—500 g);1305990002;;
; Biossays Acid Wash (BC1200, BC2200, Biolumi 8000, Biossays C8,  Biolumi CX8/2 Ã—60 g);1305990008;;
; Biossays Acid Wash (Biossays 240 Plus/2 Ã—40 g);1305990007;;
; Biossays Acid Wash (Biossays C8, Biolumi CX8/ 1 Ã—2000 g);1305990006;;
; C.f.a.s.-CK-MB 3x1 ml ;11447394216;;
; C3c, 100Tests, cobas c, Integra ;3001938322;;
; C4, 100Tests, cobas c, Integra ;3001962322;;
; CA 125 G2 CS G2 Elecsys ;7030207190;;
; CA 125 G2 Elecsys cobas e 100 ;11776223190;;
; CA 19-9 Elecsys cobas e 100 ;11776193122;;
; CA++ ELECTRODE ;3110354180;;
; CA, Gen.2, 300Tests, cobas c,Integra ;5061482190;;
; CA, Gen.2, 400Tests, cobas c111 ;5061504190;;
; CAJAS MONO PETRI;CMO00039;;
; CALIBRATION SOLUTION C1 ;3144046001;;
; CALIBRATION SOLUTION C2 ;3144020001;;
; CAP SUCTION ASSY WATER CONT. 3.2L ;5127726001;;
; CEA Elecsys,cobas e ;11731629322;;
; CELL MARQUE REAGENT, ALPHA-FETOPROTEIN ;5267188001;;
; CELLPACK 20L ;3145611001;;
; CELLPACK DFL;9426752001;;
; CHOL HiCo Gen.2, 2100Tests, cobas c701 ;5168538190;;
; CHOL HiCo Gen.2, 400Tests, cobas c, Int. ;3039773190;;
; CK 200T cobas c;7190794190;;
; CK, 800Tests, cobas c701 ;5168546190;;
; CK-MB STAT CS Elecsys V4 ;5957656190;;
; CK-MB STAT Elecsys cobas e 100 V4 ;5957648190;;
; CKMB, 600Tests, cobas c 701 ;5168562190;;
; CL- ELECTRODE ;3110451180;;
; CLEANING KIT for CL-  ELECTRODE ;3112098035;;
; CMV IgM Elecsys,cobas e ;4784618190;;
; COLORANTE PAPANICOLAU EA50  1LT;FQCEA-1K0-00;;
; COMBITROL PLUS B, LEVEL 1, 30 PCS ;3321193001;;
