REFERENCIA;NOMBRE;CATEGORIA;UNIDAD;GENERACION;VALOR
3039773190; CHOL HiCo Gen.2, 400Tests, cobas c, Int. ;;;;1
130201031M;MAGLUMI CA 125 (CLIA) 2G/100 tests;;;;1
130662008M; MAGLUMI HSV-2 IgG (CLIA) 2G/50 tests ;;;;1
130258001M;MAGLUMI IgE (CLIA) 2G/100 tests;;;;1
130255002M; MAGLUMI Insulin (CLIA) 2G/100 tests;;;;1
130603003M;MAGLUMI T3 (CLIA) 1G/50 tests;;;;1
130603002M;MAGLUMI T4 (CLIA) 1G/50 tests;;;;1
130662006M;MAGLUMI CMV IgM (CLIA) 2G/50 tests;;;;1
130251027M; MAGLUMI H.pylori IgM (CLIA) 2G/100 tests;;;;1
130651027M; MAGLUMI H.pylori IgM (CLIA) 2G/50 tests;;;;1
130253006M; MAGLUMI Thyroglobulin (CLIA) 2G/100 tests;;;;1
130601034M; MAGLUMI Total PSA (CLIA) 2G/50 tests;;;;1
130663002M; MAGLUMI Vitamin B12 (CLIA) 2G/50 tests;;;;1
