CATEGORIA;NOMBRE;REFERENCIA;UNIDAD;GENERACION;VALOR
INSUMOS;MAGLUMI Free T3 (CLIA) 2G/100 tests;130253005M;ML;1;1687.5
INSUMOS;MAGLUMI Free T4 (CLIA) 2G/100 tests;130253004M;ML;2;18.5
INSUMOS;MAGLUMI 25-OH Vitamin D (CLIA) 2G/50 tests;130661004M;ML;2;11.67
INSUMOS;MAGLUMI CA 15-3 (CLIA) 2G/50 tests;130601038M;ML;2;5.55
INSUMOS;MAGLUMI Insulin (CLIA) 2G/100 tests;130255002M;ML;2;5.55
INSUMOS;MAGLUMI Total PSA (CLIA) 2G/100 tests;130201034M;ML;2;3.33
MEDICAMENTOS;MAGLUMI CMV IgM (CLIA) 1G/50 tests;130612006M;ML;2;0.47
INSUMOS;MAGLUMI CMV IgG (CLIA) 1G/50 tests;130612005M;ML;2;13
INSUMOS;MAGLUMI NT-proBNP (CLIA) 2G/50 tests;130656004M;ML;2;125
INSUMOS;MAGLUMI Anti-TPO (CLIA) 2G/50 tests;130653011M;ML;2;866.67
INSUMOS;MAGLUMI CA 72-4 (CLIA) 2G/50 tests;130601042M;ML;2;25.83
INSUMOS;MAGLUMI Unconjugated Estriol (CLIA) 2G/50 tests;130652008M;ML;2;0.09
INSUMOS;MAGLUMI Intact PTH (CLIA) 2G/100 tests;130261001M;ML;2;116.67
INSUMOS;MAGLUMI Toxo IgG (CLIA) 1G/50 tests;130612001M;ML;2;208.33
INSUMOS;MAGLUMI Prolactin (CLIA) 2G/50 tests;130652006M;ML;2;660.02
INSUMOS;MAGLUMI HIV Ab/Ag Combi (CLIA) (Add CE Mark) 2G/50 tests;130619008M;ML;2;9.58
INSUMOS;MAGLUMI Anti-Tg (CLIA) 2G/50 tests;130653007M;ML;2;9.58
INSUMOS;MAGLUMI CA 19-9 (CLIA) 2G/50 tests;130601037M;ML;2;4.27
INSUMOS;MAGLUMI CA 19-9 (CLIA) 2G/50 tests;130601037M;ML;2;14.33
INSUMOS;MAGLUMI CA 125 (CLIA) 2G/50 tests;130601031M;ML;2;183.33
INSUMOS;MAGLUMI CYFRA 21-1 (CLIA) 2G/50 tests;130601040M;ML;2;208.33
INSUMOS;MAGLUMI CEA (CLIA) 2G/50 tests;130601032M;ML;2;0.14
INSUMOS;MAGLUMI CEA (CLIA) 2G/50 tests;130601032M;ML;2;1.52
INSUMOS;MAGLUMI Thyroglobulin (CLIA) 2G/50 tests;130653006M;ML;2;175
INSUMOS;MAGLUMI Testosterone (CLIA) 2G/50 tests;130652010M;ML;2;125
INSUMOS;MAGLUMI H.pylori IgG (CLIA) 2G/50 tests;130601521M;ML;2;13.33
INSUMOS;MAGLUMI LH (CLIA) 2G/50 tests;130652002M;ML;2;1000
INSUMOS;MAGLUMI Free PSA (CLIA) 2G/50 tests;130601035M;ML;2;125
INSUMOS;MAGLUMI AFP (CLIA) 2G/50 tests;130601033M;ML;2;3.1
