CATEGORIA;NOMBRE;REFERENCIA;UNIDAD;GENERACION
MAGLUMI Fully-auto Chemiluminescence Immunoassay Analyzer;MAGLUMI  1000 ;23020009121;100TETS;PRUEBA
;MAGLUMI  2000 ;23020006;100TETS;PRIMERA
;MAGLUMI  2000 Plus ;23020007;100TETS;PRIMERA
;MAGLUMI 600;23020018;100TETS;PRIMERA
;MAGLUMI  800 ;230200037;100TETS;PRIMERA
;MAGLUMI 4000 Plus;2302003787;100TETS;PRUEBA
;MAGLUMI X8;10101008801;100TETS;PRIMERA
;MAGLUMI X3;10101003301;100TETS;PRIMERA
;MAGLUMI X6;10101006601;100TETS;PRIMERA
;W60;10110000201;100TETS;PRIMERA
;W80;10110000101;100TETS;PRIMERA
;Decapper Module;10103000801;100TETS;PRIMERA
;Preaccu for Prenatal Screening;220103156;100TETS;PRIMERA
;Preaccu for Prenatal Screening;101;100TETS;PRIMERA
;Preaccu for Prenatal Screening;1000;100TETS;PRIMERA
;Preaccu for Prenatal Screening;1001;100TETS;PRIMERA
;Preaccu for Prenatal Screening;1002;100TETS;PRIMERA
;Preaccu for Prenatal Screening;5656;100TETS;PRIMERA
;Preaccu for Prenatal Screening;5656;100TETS;PRIMERA
;Preaccu for Prenatal Screening;60;100TETS;PRIMERA
;Preaccu for Prenatal Screening;62;100TETS;PRIMERA
;Preaccu for Prenatal Screening;63;100TETS;PRIMERA
