REFERENCIA;NOMBRE;CATEGORIA;UNIDAD;GENERACION;VALOR;USUARIO_ID;ESTADO
INS001;MINI PAPEL DE IMPRESION;INSUMOS;I;2;0;1;1
INS002;TORNIQUETE TOMA DE MUESTRA;INSUMOS;I;2;0;1;1
INS003;CUADERNOS;INSUMOS;I;2;0;1;1
INS004;CRONOMETROS;INSUMOS;I;2;0;1;1
INS005;MECHEROS;INSUMOS;I;2;0;1;1
INS006;MEDIDOR DE TEMP Y HUMEDAD;INSUMOS;I;2;0;1;1
INS007;TABLA GRUP.SANGUINEO;INSUMOS;I;2;0;1;1
INS008;TABLA REACCION DE WIDALL;INSUMOS;I;2;0;1;1
INS009;BATAS;INSUMOS;I;2;0;1;1
INS010;MASCARILLAS;INSUMOS;I;2;0;1;1
INS011;PUNTAS AMARILLAS;INSUMOS;I;2;0;1;1
INS012;PUNTAS AZULES;INSUMOS;I;2;0;1;1
INS013;ENVASES DE ORINA;INSUMOS;I;2;0;1;1
INS014;ENVASES DE ORINA 24H;INSUMOS;I;2;0;1;1
INS015;TONER ;INSUMOS;I;2;0;1;1
INS016;ALCOHOL GALON;INSUMOS;I;2;0;1;1
INS017;CLORO OZZ;INSUMOS;I;2;0;1;1
INS018;GUANTES M LATEX;INSUMOS;I;2;0;1;1
INS019;GUANTES S LATEX;INSUMOS;I;2;0;1;1
INS020;GUANTES S NITRILO;INSUMOS;I;2;0;1;1
INS021;CURITAS PARA NIÑOS;INSUMOS;I;2;0;1;1
INS022;CURITAS PARA ADULTOS;INSUMOS;I;2;0;1;1
INS023;VACUT;INSUMOS;I;2;0;1;1
INS024;LAMINA CUBRE OBJETO;INSUMOS;I;2;0;1;1
INS025;LAMINA PORTA OBJETO;INSUMOS;I;2;0;1;1
INS026;PALILLOS;INSUMOS;I;2;0;1;1
INS027;TUBO LILA 4ML EDTA K2;INSUMOS;I;2;0;1;1
INS027;TUBO LILA 4ML EDTA K2;INSUMOS;I;2;0;1;1
INS028;TUBO LILA 1ML EDTA K2;INSUMOS;I;2;0;1;1
INS029;TUBO LILA 4ML EDTA K3;INSUMOS;I;2;0;1;1
INS030;TUBO CELESTE 2.7ML;INSUMOS;I;2;0;1;1
INS031;TUBO AMARILLO CON GEL 8ML;INSUMOS;I;2;0;1;1
INS032;TUBO AMARILLO CON GEL 3.5ML;INSUMOS;I;2;0;1;1
INS033;TUBO AMARILLO CON GEL 3.5ML;INSUMOS;I;2;0;1;1
INS034;TUBOS 12X75MM;INSUMOS;I;2;0;1;1
INS035;TUBO ROJO VACIO;INSUMOS;I;2;0;1;1
INS036;MECHAS;INSUMOS;I;2;0;1;1
INS037;JERINGUILLA 1ML;INSUMOS;I;2;0;1;1
INS038;JERINGUILLA 3ML;INSUMOS;I;2;0;1;1
INS039;JERINGUILLA 5ML;INSUMOS;I;2;0;1;1
INS040;JERINGUILLA 10ML;INSUMOS;I;2;0;1;1
INS041;JERINGUILLA 20ML;INSUMOS;I;2;0;1;1
INS042;GLUTEST 50MG;INSUMOS;I;2;0;1;1
INS043;GLUTEST 75MG;INSUMOS;I;2;0;1;1
INS044;AGAR MAC-CONKEY;INSUMOS;I;2;0;1;1
INS045;AGAR NICKERSON;INSUMOS;I;2;0;1;1
INS046;AGAR SANGRE DE CORDERO;INSUMOS;I;2;0;1;1
INS047;AGAR CLED;INSUMOS;I;2;0;1;1
INS048;HALOGEN LAMP;INSUMOS;I;2;0;1;1
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
